VARIABLES = "Iter" "Res_rho" "Res_rhou-X" "Res_rhou-Y" "Res_rhou-Z" "Res_rhoE" "Res_nuSA"
Zone T = "residuals" F = point
      10    1.9174e-01    2.5662e+00    2.6164e+00   -1.1477e+01    5.6717e+00   -2.2300e+00
      20   -3.6622e-01    2.3101e+00    2.1640e+00   -1.1511e+01    5.1063e+00   -3.0140e+00
      30   -7.2327e-01    2.1498e+00    1.7782e+00   -1.1524e+01    4.7621e+00   -3.4988e+00
      40   -1.0478e+00    2.0577e+00    1.4154e+00   -1.1548e+01    4.4417e+00   -3.6792e+00
      50   -1.4061e+00    1.9730e+00    1.0378e+00   -1.1560e+01    4.1121e+00   -3.7720e+00
      60   -1.6046e+00    1.9154e+00    6.6916e-01   -1.1516e+01    3.9053e+00   -3.8452e+00
      70   -1.8460e+00    1.8656e+00    3.7835e-01   -1.1551e+01    3.7096e+00   -3.9064e+00
      80   -1.9515e+00    1.8265e+00    1.4494e-01   -1.1533e+01    3.6022e+00   -3.9606e+00
      90   -2.0362e+00    1.7924e+00   -6.7049e-02   -1.1523e+01    3.5363e+00   -4.0070e+00
     100   -2.0602e+00    1.7625e+00   -2.6571e-01   -1.1552e+01    3.4948e+00   -4.0450e+00
     110   -2.1140e+00    1.7348e+00   -4.2954e-01   -1.1558e+01    3.4511e+00   -4.0757e+00
     120   -2.1368e+00    1.7097e+00   -5.5404e-01   -1.1561e+01    3.4189e+00   -4.0986e+00
     130   -2.1654e+00    1.6867e+00   -5.8535e-01   -1.1568e+01    3.3908e+00   -4.1149e+00
     140   -2.1832e+00    1.6652e+00   -6.5669e-01   -1.1544e+01    3.3679e+00   -4.1250e+00
     150   -2.2056e+00    1.6453e+00   -6.7719e-01   -1.1552e+01    3.3441e+00   -4.1289e+00
     160   -2.2229e+00    1.6265e+00   -7.1896e-01   -1.1539e+01    3.3237e+00   -4.1321e+00
     170   -2.2402e+00    1.6089e+00   -7.4203e-01   -1.1552e+01    3.3044e+00   -4.1334e+00
     180   -2.2560e+00    1.5922e+00   -7.6463e-01   -1.1544e+01    3.2866e+00   -4.1333e+00
     190   -2.2708e+00    1.5765e+00   -7.8457e-01   -1.1540e+01    3.2699e+00   -4.1324e+00
