VARIABLES ="X" "Y" "Z" "rho" "press" "temp" "tau_wall" "qdot" "yplus" "muLam"
Zone T ="wall" I = 224 , F = point
1.98926038e+00	-1.11022302e-16	5.00000000e-01	1.12130476e+00	9.72456833e+04	3.02179187e+02	6.59920305e+00	9.53349979e+04	8.67495716e-02	1.56860000e-05
4.93787166e-01	-1.11022302e-16	5.00000000e-01	1.12140796e+00	9.72522327e+04	3.02171727e+02	8.10302059e+00	9.50086648e+04	9.61313517e-02	1.56860000e-05
5.01529073e-01	-1.11022302e-16	5.00000000e-01	1.12140701e+00	9.72521829e+04	3.02171829e+02	8.08411503e+00	9.50131048e+04	9.60191011e-02	1.56860000e-05
5.09421865e-01	-1.11022302e-16	5.00000000e-01	1.12140605e+00	9.72521324e+04	3.02171930e+02	8.06520048e+00	9.50175163e+04	9.59066656e-02	1.56860000e-05
5.17470434e-01	-1.11022302e-16	5.00000000e-01	1.12140509e+00	9.72520820e+04	3.02172030e+02	8.04626944e+00	9.50219183e+04	9.57940002e-02	1.56860000e-05
5.25679883e-01	-1.11022302e-16	5.00000000e-01	1.12140415e+00	9.72520323e+04	3.02172131e+02	8.02732155e+00	9.50263359e+04	9.56811023e-02	1.56860000e-05
5.34055538e-01	-1.11022302e-16	5.00000000e-01	1.12140320e+00	9.72519830e+04	3.02172233e+02	8.00835831e+00	9.50307650e+04	9.55679797e-02	1.56860000e-05
5.42602964e-01	-1.11022302e-16	5.00000000e-01	1.12140225e+00	9.72519329e+04	3.02172333e+02	7.98937386e+00	9.50351693e+04	9.54545962e-02	1.56860000e-05
5.51327972e-01	-1.11022302e-16	5.00000000e-01	1.12140130e+00	9.72518827e+04	3.02172434e+02	7.97036005e+00	9.50395653e+04	9.53409025e-02	1.56860000e-05
5.60236639e-01	-1.11022302e-16	5.00000000e-01	1.12140035e+00	9.72518331e+04	3.02172534e+02	7.95131472e+00	9.50439719e+04	9.52268848e-02	1.56860000e-05
5.69335321e-01	-1.11022302e-16	5.00000000e-01	1.12139941e+00	9.72517840e+04	3.02172636e+02	7.93223878e+00	9.50483976e+04	9.51125472e-02	1.56860000e-05
5.78630666e-01	-1.11022302e-16	5.00000000e-01	1.12139847e+00	9.72517345e+04	3.02172737e+02	7.91312868e+00	9.50528126e+04	9.49978670e-02	1.56860000e-05
5.88129638e-01	-1.11022302e-16	5.00000000e-01	1.12139752e+00	9.72516846e+04	3.02172837e+02	7.89397653e+00	9.50572149e+04	9.48827955e-02	1.56860000e-05
5.97839528e-01	-1.11022302e-16	5.00000000e-01	1.12139657e+00	9.72516351e+04	3.02172938e+02	7.87477804e+00	9.50616259e+04	9.47673059e-02	1.56860000e-05
6.07767981e-01	-1.11022302e-16	5.00000000e-01	1.12139564e+00	9.72515864e+04	3.02173039e+02	7.85553353e+00	9.50660616e+04	9.46513985e-02	1.56860000e-05
6.17923013e-01	-1.11022302e-16	5.00000000e-01	1.12139469e+00	9.72515374e+04	3.02173141e+02	7.83623960e+00	9.50704939e+04	9.45350510e-02	1.56860000e-05
6.28313033e-01	-1.11022302e-16	5.00000000e-01	1.12139375e+00	9.72514878e+04	3.02173242e+02	7.81688522e+00	9.50749131e+04	9.44181950e-02	1.56860000e-05
6.38946873e-01	-1.11022302e-16	5.00000000e-01	1.12139281e+00	9.72514387e+04	3.02173343e+02	7.79746339e+00	9.50793471e+04	9.43007867e-02	1.56860000e-05
6.49833809e-01	-1.11022302e-16	5.00000000e-01	1.12139187e+00	9.72513903e+04	3.02173445e+02	7.77797709e+00	9.50838086e+04	9.41828422e-02	1.56860000e-05
6.60983593e-01	-1.11022302e-16	5.00000000e-01	1.12139093e+00	9.72513418e+04	3.02173547e+02	7.75842617e+00	9.50882744e+04	9.40643582e-02	1.56860000e-05
6.72406482e-01	-1.11022302e-16	5.00000000e-01	1.12138999e+00	9.72512928e+04	3.02173649e+02	7.73880275e+00	9.50927264e+04	9.39452847e-02	1.56860000e-05
6.84113272e-01	-1.11022302e-16	5.00000000e-01	1.12138905e+00	9.72512442e+04	3.02173751e+02	7.71910066e+00	9.50971937e+04	9.38255823e-02	1.56860000e-05
6.96115333e-01	-1.11022302e-16	5.00000000e-01	1.12138812e+00	9.72511964e+04	3.02173854e+02	7.69931935e+00	9.51016951e+04	9.37052454e-02	1.56860000e-05
7.08424650e-01	-1.11022302e-16	5.00000000e-01	1.12138718e+00	9.72511484e+04	3.02173957e+02	7.67945571e+00	9.51062047e+04	9.35842522e-02	1.56860000e-05
7.21053862e-01	-1.11022302e-16	5.00000000e-01	1.12138624e+00	9.72511000e+04	3.02174060e+02	7.65950112e+00	9.51107045e+04	9.34625475e-02	1.56860000e-05
7.34016311e-01	-1.11022302e-16	5.00000000e-01	1.12138530e+00	9.72510522e+04	3.02174163e+02	7.63944993e+00	9.51152291e+04	9.33400944e-02	1.56860000e-05
7.47326088e-01	-1.11022302e-16	5.00000000e-01	1.12138438e+00	9.72510051e+04	3.02174268e+02	7.61930114e+00	9.51197897e+04	9.32168838e-02	1.56860000e-05
7.60998086e-01	-1.11022302e-16	5.00000000e-01	1.12138344e+00	9.72509577e+04	3.02174372e+02	7.59904963e+00	9.51243543e+04	9.30928810e-02	1.56860000e-05
7.75048064e-01	-1.11022302e-16	5.00000000e-01	1.12138251e+00	9.72509101e+04	3.02174476e+02	7.57868612e+00	9.51289173e+04	9.29680260e-02	1.56860000e-05
