VARIABLES = "Iter" "Res_rho" "Res_rhou-X" "Res_rhou-Y" "Res_rhou-Z" "Res_rhoE" "Res_kine" "Res_omega"
Zone T = "residuals" F = point
      10    1.9737e-01    2.5719e+00    2.6228e+00   -1.1498e+01    5.6778e+00   -6.7797e-01    1.1681e+01
      20   -3.5776e-01    2.3171e+00    2.1686e+00   -1.1504e+01    5.1151e+00   -1.3171e+00    1.0721e+01
      30   -7.0857e-01    2.1544e+00    1.7829e+00   -1.1528e+01    4.7768e+00   -1.6931e+00    9.8623e+00
      40   -1.0276e+00    2.0604e+00    1.4221e+00   -1.1565e+01    4.4615e+00   -1.9349e+00    8.9942e+00
      50   -1.3761e+00    1.9749e+00    1.0538e+00   -1.1549e+01    4.1400e+00   -2.0974e+00    8.4527e+00
      60   -1.5745e+00    1.9171e+00    7.0352e-01   -1.1556e+01    3.9325e+00   -2.2065e+00    8.0356e+00
      70   -1.8131e+00    1.8666e+00    4.5050e-01   -1.1555e+01    3.7342e+00   -2.2704e+00    7.6769e+00
      80   -1.9291e+00    1.8264e+00    2.5045e-01   -1.1568e+01    3.6215e+00   -2.3031e+00    7.3882e+00
      90   -2.0178e+00    1.7916e+00    2.9096e-02   -1.1561e+01    3.5462e+00   -2.3043e+00    7.1424e+00
     100   -2.0637e+00    1.7603e+00   -1.7036e-01   -1.1593e+01    3.4955e+00   -2.3013e+00    6.9290e+00
     110   -2.1054e+00    1.7320e+00   -2.9682e-01   -1.1570e+01    3.4564e+00   -2.2965e+00    6.7245e+00
     120   -2.1340e+00    1.7061e+00   -3.7379e-01   -1.1561e+01    3.4228e+00   -2.2915e+00    6.5896e+00
     130   -2.1585e+00    1.6822e+00   -4.2137e-01   -1.1546e+01    3.3959e+00   -2.2875e+00    6.5093e+00
     140   -2.1817e+00    1.6600e+00   -4.5025e-01   -1.1550e+01    3.3695e+00   -2.2829e+00    6.4550e+00
     150   -2.2023e+00    1.6391e+00   -4.7076e-01   -1.1519e+01    3.3464e+00   -2.2773e+00    6.4032e+00
     160   -2.2210e+00    1.6193e+00   -4.8784e-01   -1.1560e+01    3.3249e+00   -2.2705e+00    6.3666e+00
     170   -2.2397e+00    1.6007e+00   -5.0352e-01   -1.1541e+01    3.3043e+00   -2.2616e+00    6.3212e+00
     180   -2.2569e+00    1.5829e+00   -5.1597e-01   -1.1577e+01    3.2849e+00   -2.2506e+00    6.2885e+00
     190   -2.2738e+00    1.5660e+00   -5.3080e-01   -1.1535e+01    3.2662e+00   -2.2369e+00    6.2527e+00
     200   -2.2899e+00    1.5498e+00   -5.4437e-01   -1.1571e+01    3.2484e+00   -2.2205e+00    6.2228e+00
     210   -2.3054e+00    1.5342e+00   -5.5798e-01   -1.1544e+01    3.2313e+00   -2.2012e+00    6.1923e+00
     220   -2.3204e+00    1.5194e+00   -5.7113e-01   -1.1566e+01    3.2149e+00   -2.1785e+00    6.1634e+00
     230   -2.3349e+00    1.5050e+00   -5.8414e-01   -1.1560e+01    3.1992e+00   -2.1526e+00    6.1359e+00
     240   -2.3489e+00    1.4912e+00   -5.9688e-01   -1.1567e+01    3.1839e+00   -2.1233e+00    6.1092e+00
     250   -2.3722e+00    1.4778e+00   -7.2884e-01   -1.1545e+01    3.1602e+00   -2.0908e+00    6.2884e+00
     260   -2.3854e+00    1.4649e+00   -7.4527e-01   -1.1580e+01    3.1470e+00   -2.0549e+00    6.1833e+00
     270   -2.3948e+00    1.4526e+00   -7.3937e-01   -1.1578e+01    3.1359e+00   -2.0155e+00    6.0873e+00
     280   -2.3964e+00    1.4409e+00   -6.6826e-01   -1.1555e+01    3.1324e+00   -1.9737e+00    6.0321e+00
     290   -2.4032e+00    1.4294e+00   -6.5458e-01   -1.1539e+01    3.1243e+00   -1.9281e+00    5.9955e+00
     300   -2.4145e+00    1.4181e+00   -6.5888e-01   -1.1585e+01    3.1123e+00   -1.8795e+00    5.9650e+00
     310   -2.4255e+00    1.4070e+00   -6.6741e-01   -1.1554e+01    3.1005e+00   -1.8279e+00    5.9418e+00
     320   -2.4364e+00    1.3963e+00   -6.7620e-01   -1.1564e+01    3.0889e+00   -1.7762e+00    5.9186e+00
     330   -2.4470e+00    1.3858e+00   -6.8434e-01   -1.1573e+01    3.0777e+00   -1.7247e+00    5.8987e+00
     340   -2.4574e+00    1.3757e+00   -6.9272e-01   -1.1548e+01    3.0667e+00   -1.6723e+00    5.8799e+00
     350   -2.4675e+00    1.3657e+00   -7.0103e-01   -1.1555e+01    3.0559e+00   -1.6192e+00    5.8610e+00
     360   -2.4775e+00    1.3560e+00   -7.0933e-01   -1.1537e+01    3.0454e+00   -1.5650e+00    5.8450e+00
     370   -2.4872e+00    1.3465e+00   -7.1766e-01   -1.1557e+01    3.0351e+00   -1.5109e+00    5.8262e+00
     380   -2.4968e+00    1.3372e+00   -7.2600e-01   -1.1564e+01    3.0250e+00   -1.4551e+00    5.8100e+00
     390   -2.5062e+00    1.3282e+00   -7.3434e-01   -1.1551e+01    3.0152e+00   -1.3992e+00    5.7935e+00
     400   -2.5155e+00    1.3193e+00   -7.4268e-01   -1.1559e+01    3.0055e+00   -1.3430e+00    5.7765e+00
     410   -2.5246e+00    1.3106e+00   -7.5105e-01   -1.1541e+01    2.9960e+00   -1.2867e+00    5.7619e+00
     420   -2.5335e+00    1.3021e+00   -7.5941e-01   -1.1555e+01    2.9866e+00   -1.2305e+00    5.7446e+00
     430   -2.5423e+00    1.2938e+00   -7.6778e-01   -1.1535e+01    2.9775e+00   -1.1739e+00    5.7293e+00
     440   -2.5510e+00    1.2856e+00   -7.7614e-01   -1.1554e+01    2.9684e+00   -1.1182e+00    5.7147e+00
     450   -2.5595e+00    1.2776e+00   -7.8448e-01   -1.1580e+01    2.9596e+00   -1.0612e+00    5.6986e+00
     460   -2.5679e+00    1.2697e+00   -7.9282e-01   -1.1558e+01    2.9509e+00   -1.0038e+00    5.6842e+00
     470   -2.5761e+00    1.2620e+00   -8.0115e-01   -1.1530e+01    2.9423e+00   -9.4652e-01    5.6704e+00
     480   -2.5843e+00    1.2544e+00   -8.0942e-01   -1.1544e+01    2.9339e+00   -8.8880e-01    5.6554e+00
     490   -2.5923e+00    1.2469e+00   -8.1763e-01   -1.1558e+01    2.9256e+00   -8.3052e-01    5.6415e+00
     500   -2.6001e+00    1.2396e+00   -8.2578e-01   -1.1559e+01    2.9174e+00   -7.7229e-01    5.6285e+00
     510   -2.6079e+00    1.2323e+00   -8.3389e-01   -1.1567e+01    2.9094e+00   -7.1455e-01    5.6144e+00
     520   -2.6155e+00    1.2253e+00   -8.4197e-01   -1.1583e+01    2.9015e+00   -6.5570e-01    5.6009e+00
     530   -2.6230e+00    1.2183e+00   -8.4991e-01   -1.1559e+01    2.8938e+00   -5.9657e-01    5.5881e+00
     540   -2.6303e+00    1.2114e+00   -8.5743e-01   -1.1545e+01    2.8862e+00   -5.3731e-01    5.5754e+00
     550   -2.6375e+00    1.2046e+00   -8.6460e-01   -1.1581e+01    2.8788e+00   -4.7797e-01    5.5621e+00
     560   -2.6446e+00    1.1980e+00   -8.7146e-01   -1.1571e+01    2.8715e+00   -4.1834e-01    5.5494e+00
     570   -2.6515e+00    1.1914e+00   -8.7804e-01   -1.1580e+01    2.8643e+00   -3.5865e-01    5.5370e+00
     580   -2.6583e+00    1.1850e+00   -8.8429e-01   -1.1577e+01    2.8573e+00   -2.9891e-01    5.5259e+00
     590   -2.6650e+00    1.1786e+00   -8.9022e-01   -1.1577e+01    2.8504e+00   -2.4000e-01    5.5125e+00
     600   -2.6715e+00    1.1723e+00   -8.9573e-01   -1.1563e+01    2.8437e+00   -1.8024e-01    5.5017e+00
     610   -2.6779e+00    1.1661e+00   -9.0083e-01   -1.1548e+01    2.8371e+00   -1.2050e-01    5.4904e+00
     620   -2.6841e+00    1.1600e+00   -9.0547e-01   -1.1560e+01    2.8307e+00   -6.0992e-02    5.4848e+00
     630   -2.6901e+00    1.1540e+00   -9.0961e-01   -1.1566e+01    2.8245e+00   -1.6393e-03    5.4739e+00
     640   -2.6959e+00    1.1481e+00   -9.1317e-01   -1.1570e+01    2.8185e+00    5.7421e-02    5.4741e+00
     650   -2.7014e+00    1.1423e+00   -9.1610e-01   -1.1574e+01    2.8127e+00    1.1612e-01    5.4809e+00
     660   -2.7067e+00    1.1365e+00   -9.1823e-01   -1.1557e+01    2.8072e+00    1.7430e-01    5.5120e+00
     670   -2.7117e+00    1.1308e+00   -9.1960e-01   -1.1552e+01    2.8020e+00    2.3103e-01    5.4656e+00
     680   -2.7163e+00    1.1252e+00   -9.1985e-01   -1.1560e+01    2.7971e+00    2.8793e-01    5.4564e+00
     690   -2.7204e+00    1.1197e+00   -9.1885e-01   -1.1539e+01    2.7927e+00    3.4399e-01    5.4237e+00
     700   -2.7241e+00    1.1143e+00   -9.1644e-01   -1.1558e+01    2.7887e+00    3.9905e-01    5.4319e+00
     710   -2.7273e+00    1.1090e+00   -9.1244e-01   -1.1546e+01    2.7853e+00    4.5306e-01    5.4139e+00
     720   -2.7298e+00    1.1038e+00   -9.0674e-01   -1.1560e+01    2.7825e+00    5.0590e-01    5.4144e+00
     730   -2.7293e+00    1.0985e+00   -8.8443e-01   -1.1592e+01    2.7836e+00    5.5739e-01    5.7421e+00
     740   -2.7274e+00    1.0935e+00   -8.7974e-01   -1.1557e+01    2.7833e+00    6.0744e-01    5.6549e+00
     750   -2.7302e+00    1.0888e+00   -8.7316e-01   -1.1561e+01    2.7813e+00    6.5591e-01    5.6037e+00
     760   -2.7292e+00    1.0841e+00   -8.6976e-01   -1.1557e+01    2.7814e+00    7.0201e-01    5.4760e+00
