n=192	d=7
5.00232577e-07	1.12136000e+00	2.23357145e-01	-5.11807062e-09	9.72498891e+04	4.34824798e-06	3.82863239e+09
1.50255965e-06	1.12136053e+00	6.70902738e-01	2.16398629e-07	9.72498889e+04	1.20470923e-04	7.03431548e+08
2.51047941e-06	1.12136160e+00	1.12094540e+00	3.45727677e-07	9.72498883e+04	7.89089003e-04	2.46002244e+08
3.52774344e-06	1.12136321e+00	1.57515990e+00	5.40520109e-07	9.72498867e+04	2.74915936e-03	1.18239978e+08
4.55813811e-06	1.12136539e+00	2.03523563e+00	7.80791572e-07	9.72498833e+04	6.93845313e-03	6.78247257e+07
5.60549865e-06	1.12136817e+00	2.50288146e+00	1.08235997e-06	9.72498775e+04	1.44864886e-02	4.33828541e+07
6.67372346e-06	1.12137157e+00	2.97982961e+00	1.45052173e-06	9.72498680e+04	2.67439322e-02	2.98370960e+07
7.76678857e-06	1.12137564e+00	3.46783790e+00	1.89225365e-06	9.72498538e+04	4.53289230e-02	2.16001431e+07
8.88876249e-06	1.12138043e+00	3.96868945e+00	2.41430112e-06	9.72498334e+04	7.21854074e-02	1.62413206e+07
1.00438213e-05	1.12138600e+00	4.48418863e+00	3.02363138e-06	9.72498049e+04	1.09651699e-01	1.25725092e+07
1.12362643e-05	1.12139241e+00	5.01615127e+00	3.72684525e-06	9.72497664e+04	1.60537417e-01	9.95932281e+06
1.24705299e-05	1.12139975e+00	5.56638665e+00	4.52934766e-06	9.72497152e+04	2.28205256e-01	8.03876276e+06
1.37512121e-05	1.12140809e+00	6.13666773e+00	5.43406788e-06	9.72496484e+04	3.16650755e-01	6.59121474e+06
1.50830778e-05	1.12141755e+00	6.72868544e+00	6.43982287e-06	9.72495625e+04	4.30567878e-01	5.47756427e+06
1.64710843e-05	1.12142821e+00	7.34398222e+00	7.53959940e-06	9.72494534e+04	5.75380624e-01	4.60621011e+06
1.79203980e-05	1.12144019e+00	7.98386030e+00	8.71946967e-06	9.72493166e+04	7.57211168e-01	3.91479216e+06
1.94364132e-05	1.12145361e+00	8.64926253e+00	9.95941528e-06	9.72491472e+04	9.82744963e-01	3.35959491e+06
2.10247729e-05	1.12146859e+00	9.34062800e+00	1.12377739e-05	9.72489400e+04	1.25894698e+00	2.90915912e+06
2.26913890e-05	1.12148524e+00	1.00577333e+01	1.25407122e-05	9.72486901e+04	1.59258844e+00	2.54030354e+06
2.44424649e-05	1.12150368e+00	1.07995415e+01	1.38762985e-05	9.72483932e+04	1.98956994e+00	2.23558148e+06
2.62845182e-05	1.12152400e+00	1.15640918e+01	1.52892184e-05	9.72480463e+04	2.45408180e+00	1.98162198e+06
2.82244052e-05	1.12154630e+00	1.23484698e+01	1.68684494e-05	9.72476484e+04	2.98772087e+00	1.76803151e+06
3.02693465e-05	1.12157061e+00	1.31488900e+01	1.87399845e-05	9.72472007e+04	3.58875796e+00	1.58665681e+06
3.24269536e-05	1.12159698e+00	1.39609003e+01	2.10418712e-05	9.72467072e+04	4.25177651e+00	1.43107978e+06
3.47052572e-05	1.12162540e+00	1.47796841e+01	2.38926644e-05	9.72461744e+04	4.96784248e+00	1.29625793e+06
3.71127374e-05	1.12165584e+00	1.56004062e+01	2.73579971e-05	9.72456108e+04	5.72522255e+00	1.17825318e+06
3.96583552e-05	1.12168824e+00	1.64185360e+01	3.14387682e-05	9.72450263e+04	6.51052980e+00	1.07401729e+06
4.23515857e-05	1.12172252e+00	1.72300947e+01	3.60939279e-05	9.72444309e+04	7.30998313e+00	9.81206636e+05
4.52024532e-05	1.12175857e+00	1.80318005e+01	4.12611466e-05	9.72438342e+04	8.11052680e+00	8.98023147e+05
4.82215690e-05	1.12179628e+00	1.88211152e+01	4.69067475e-05	9.72432447e+04	8.90067316e+00	8.23083560e+05
5.14201707e-05	1.12183553e+00	1.95962143e+01	5.30121667e-05	9.72426694e+04	9.67099029e+00	7.55313566e+05
5.48101637e-05	1.12187623e+00	2.03567365e+01	5.93368779e-05	9.72421135e+04	1.04146868e+01	6.93803743e+05
5.84041659e-05	1.12191835e+00	2.11033936e+01	6.58175337e-05	9.72415800e+04	1.11278983e+01	6.37744643e+05
6.22155547e-05	1.12196181e+00	2.18361129e+01	7.28021299e-05	9.72410716e+04	1.18075310e+01	5.86486092e+05
6.62585164e-05	1.12200645e+00	2.25540725e+01	8.03983590e-05	9.72405902e+04	1.24505546e+01	5.39528266e+05
7.05480993e-05	1.12205214e+00	2.32565642e+01	8.85366451e-05	9.72401375e+04	1.30549742e+01	4.96464941e+05
7.51002697e-05	1.12209873e+00	2.39431167e+01	9.72358254e-05	9.72397141e+04	1.36198762e+01	4.56955478e+05
7.99319713e-05	1.12214609e+00	2.46134882e+01	1.06528830e-04	9.72393201e+04	1.41452957e+01	4.20706805e+05
8.50611882e-05	1.12219410e+00	2.52676338e+01	1.16462466e-04	9.72389548e+04	1.46320497e+01	3.87461212e+05
9.05070119e-05	1.12224263e+00	2.59056709e+01	1.27089617e-04	9.72386173e+04	1.50815772e+01	3.56988167e+05
9.62897123e-05	1.12229158e+00	2.65278515e+01	1.38467126e-04	9.72383061e+04	1.54957987e+01	3.29078725e+05
1.02430813e-04	1.12234086e+00	2.71345710e+01	1.50651067e-04	9.72380196e+04	1.58770056e+01	3.03540471e+05
1.08953172e-04	1.12239040e+00	2.77264620e+01	1.63691336e-04	9.72377558e+04	1.62277751e+01	2.80190210e+05
1.15881067e-04	1.12244018e+00	2.83046821e+01	1.77627970e-04	9.72375127e+04	1.65508768e+01	2.58839730e+05
