n=192	d=7
5.00232577e-07	1.12140146e+00	2.31938569e-01	-7.90709418e-09	9.72498625e+04	5.77177181e-06	3.45947946e+08
1.50255965e-06	1.12140203e+00	6.96678434e-01	2.74568984e-07	9.72498622e+04	1.60482923e-04	6.35606302e+07
2.51047941e-06	1.12140318e+00	1.16400815e+00	4.27796232e-07	9.72498614e+04	1.05413028e-03	2.22279816e+07
3.52774344e-06	1.12140492e+00	1.63565951e+00	6.56746396e-07	9.72498593e+04	3.67973621e-03	1.06833122e+07
4.55813811e-06	1.12140726e+00	2.11337283e+00	9.33232481e-07	9.72498549e+04	9.29992340e-03	6.12749017e+06
5.60549865e-06	1.12141024e+00	2.59890035e+00	1.27463995e-06	9.72498471e+04	1.94352216e-02	3.91853850e+06
6.67372346e-06	1.12141389e+00	3.09400758e+00	1.68267522e-06	9.72498347e+04	3.58990248e-02	2.69417045e+06
7.76678857e-06	1.12141825e+00	3.60047067e+00	2.15898714e-06	9.72498160e+04	6.08510676e-02	1.94961304e+06
8.88876249e-06	1.12142338e+00	4.12006718e+00	2.70288053e-06	9.72497894e+04	9.68598936e-02	1.46533520e+06
1.00438213e-05	1.12142933e+00	4.65455739e+00	3.31327921e-06	9.72497528e+04	1.46967749e-01	1.13408273e+06
1.12362643e-05	1.12143618e+00	5.20565367e+00	3.99064578e-06	9.72497039e+04	2.14750088e-01	8.98612087e+05
1.24705299e-05	1.12144401e+00	5.77497709e+00	4.73894725e-06	9.72496405e+04	3.04359162e-01	7.26136781e+05
1.37512121e-05	1.12145292e+00	6.36400197e+00	5.56632536e-06	9.72495600e+04	4.20537752e-01	5.96716525e+05
1.50830778e-05	1.12146301e+00	6.97399112e+00	6.48561940e-06	9.72494602e+04	5.68584574e-01	4.97573887e+05
1.64710843e-05	1.12147441e+00	7.60592533e+00	7.51487267e-06	9.72493386e+04	7.54248206e-01	4.20199197e+05
1.79203980e-05	1.12148723e+00	8.26043216e+00	8.67543532e-06	9.72491934e+04	9.83527986e-01	3.58799897e+05
1.94364132e-05	1.12150163e+00	8.93772033e+00	9.98889346e-06	9.72490229e+04	1.26237359e+00	3.09362043e+05
2.10247729e-05	1.12151772e+00	9.63752581e+00	1.14761078e-05	9.72488258e+04	1.59629197e+00	2.69041377e+05
2.26913890e-05	1.12153565e+00	1.03590749e+01	1.31585185e-05	9.72486015e+04	1.98988627e+00	2.35774835e+05
2.44424649e-05	1.12155553e+00	1.11010676e+01	1.50602012e-05	9.72483500e+04	2.44636707e+00	2.08034943e+05
2.62845182e-05	1.12157750e+00	1.18616858e+01	1.72093468e-05	9.72480716e+04	2.96709103e+00	1.84671621e+05
2.82244052e-05	1.12160162e+00	1.26386261e+01	1.96381181e-05	9.72477678e+04	3.55119046e+00	1.64807285e+05
3.02693465e-05	1.12162798e+00	1.34291601e+01	2.23822694e-05	9.72474405e+04	4.19535596e+00	1.47765179e+05
3.24269536e-05	1.12165660e+00	1.42302202e+01	2.54750732e-05	9.72470924e+04	4.89382074e+00	1.33019111e+05
3.47052572e-05	1.12168749e+00	1.50385046e+01	2.89651827e-05	9.72467269e+04	5.63856867e+00	1.20157335e+05
3.71127374e-05	1.12172061e+00	1.58505978e+01	3.28436447e-05	9.72463478e+04	6.41975446e+00	1.08856017e+05
3.96583552e-05	1.12175590e+00	1.66630986e+01	3.71491775e-05	9.72459592e+04	7.22628156e+00	9.88594077e+04
4.23515857e-05	1.12179327e+00	1.74727380e+01	4.19332381e-05	9.72455655e+04	8.04650573e+00	8.99648265e+04
4.52024532e-05	1.12183258e+00	1.82764793e+01	4.71687338e-05	9.72451710e+04	8.86891826e+00	8.20106416e+04
4.82215690e-05	1.12187371e+00	1.90716053e+01	5.28751466e-05	9.72447797e+04	9.68275313e+00	7.48671322e+04
5.14201707e-05	1.12191647e+00	1.98557782e+01	5.90613666e-05	9.72443954e+04	1.04784706e+01	6.84293074e+04
5.48101637e-05	1.12196073e+00	2.06270722e+01	6.57395207e-05	9.72440212e+04	1.12480786e+01	6.26112753e+04
5.84041659e-05	1.12200629e+00	2.13839808e+01	7.29256223e-05	9.72436598e+04	1.19852868e+01	5.73418641e+04
6.22155547e-05	1.12205301e+00	2.21254032e+01	8.06414732e-05	9.72433132e+04	1.26855119e+01	5.25612527e+04
6.62585164e-05	1.12210073e+00	2.28506137e+01	8.89151765e-05	9.72429829e+04	1.33457673e+01	4.82184127e+04
7.05480993e-05	1.12214930e+00	2.35592205e+01	9.77812120e-05	9.72426699e+04	1.39644750e+01	4.42691960e+04
7.51002697e-05	1.12219860e+00	2.42511181e+01	1.07280119e-04	9.72423747e+04	1.45412360e+01	4.06749211e+04
7.99319713e-05	1.12224851e+00	2.49264381e+01	1.17458036e-04	9.72420975e+04	1.50765899e+01	3.74013395e+04
8.50611882e-05	1.12229894e+00	2.55855013e+01	1.28366230e-04	9.72418381e+04	1.55717853e+01	3.44178817e+04
9.05070119e-05	1.12234981e+00	2.62287737e+01	1.40060730e-04	9.72415961e+04	1.60285742e+01	3.16971042e+04
9.62897123e-05	1.12240103e+00	2.68568276e+01	1.52602102e-04	9.72413708e+04	1.64490385e+01	2.92142762e+04
1.02430813e-04	1.12245257e+00	2.74703085e+01	1.66055372e-04	9.72411616e+04	1.68354484e+01	2.69470624e+04
1.08953172e-04	1.12250436e+00	2.80699076e+01	1.80490092e-04	9.72409676e+04	1.71901535e+01	2.48752701e+04
1.15881067e-04	1.12255638e+00	2.86563394e+01	1.95980526e-04	9.72407879e+04	1.75155012e+01	2.29806385e+04
