VARIABLES = "Iter" "Res_rho" "Res_rhou-X" "Res_rhou-Y" "Res_rhou-Z" "Res_rhoE" "Res_kine" "Res_omega"
Zone T = "residuals" F = point
      10   -8.7017e-02    2.9280e+00    2.3633e+00   -1.0885e+01    5.3995e+00   -1.1999e-01    8.3342e+00
      20   -3.1861e-01    2.7447e+00    2.1566e+00   -1.0881e+01    5.1661e+00   -6.0037e-01    7.4388e+00
      30   -4.1244e-01    2.6648e+00    1.9870e+00   -1.0893e+01    5.0612e+00   -8.5876e-01    7.2701e+00
      40   -3.9421e-01    2.6015e+00    1.8267e+00   -1.0893e+01    5.0802e+00   -1.0311e+00    7.2079e+00
      50   -4.8224e-01    2.5547e+00    1.7906e+00   -1.0896e+01    4.9885e+00   -1.1595e+00    7.0957e+00
      60   -6.0168e-01    2.5066e+00    1.7852e+00   -1.0893e+01    4.8689e+00   -1.2606e+00    6.8793e+00
      70   -7.4636e-01    2.4639e+00    1.8446e+00   -1.0888e+01    4.7308e+00   -1.3417e+00    6.8142e+00
      80   -8.6403e-01    2.4254e+00    1.7967e+00   -1.0897e+01    4.6248e+00   -1.4090e+00    6.8596e+00
      90   -6.9288e-01    2.3963e+00    1.6238e+00   -1.0893e+01    4.7940e+00   -1.4700e+00    6.8010e+00
     100   -7.6440e-01    2.3746e+00    1.5419e+00   -1.0890e+01    4.7236e+00   -1.5217e+00    6.6447e+00
     110   -8.1945e-01    2.3433e+00    1.5877e+00   -1.0897e+01    4.6672e+00   -1.5720e+00    6.5693e+00
     120   -9.8019e-01    2.3271e+00    1.6973e+00   -1.0892e+01    4.5077e+00   -1.6127e+00    6.6861e+00
     130   -1.0114e+00    2.3091e+00    1.6672e+00   -1.0889e+01    4.4694e+00   -1.6591e+00    6.7094e+00
     140   -8.8502e-01    2.2898e+00    1.5723e+00   -1.0881e+01    4.5937e+00   -1.6999e+00    6.6034e+00
     150   -8.3856e-01    2.2710e+00    1.4050e+00   -1.0893e+01    4.6403e+00   -1.7389e+00    6.5013e+00
     160   -8.8325e-01    2.2621e+00    1.4699e+00   -1.0896e+01    4.5931e+00   -1.7767e+00    6.4241e+00
     170   -9.7339e-01    2.2486e+00    1.5382e+00   -1.0884e+01    4.4988e+00   -1.8135e+00    6.3868e+00
     180   -1.0614e+00    2.2295e+00    1.5336e+00   -1.0885e+01    4.4138e+00   -1.8485e+00    6.3830e+00
     190   -1.0319e+00    2.2123e+00    1.4678e+00   -1.0898e+01    4.4496e+00   -1.8855e+00    6.4818e+00
     200   -1.0604e+00    2.1997e+00    1.3693e+00   -1.0891e+01    4.4217e+00   -1.9188e+00    6.5229e+00
     210   -1.1241e+00    2.1892e+00    1.4510e+00   -1.0903e+01    4.3581e+00   -1.9444e+00    6.4035e+00
     220   -1.1548e+00    2.1760e+00    1.4925e+00   -1.0896e+01    4.3285e+00   -1.9663e+00    6.1624e+00
     230   -1.1203e+00    2.1636e+00    1.4401e+00   -1.0893e+01    4.3606e+00   -1.9849e+00    6.2923e+00
     240   -1.0703e+00    2.1564e+00    1.3608e+00   -1.0898e+01    4.4107e+00   -2.0002e+00    6.4504e+00
     250   -1.0852e+00    2.1495e+00    1.2943e+00   -1.0895e+01    4.3955e+00   -2.0012e+00    6.5134e+00
     260   -1.1607e+00    2.1406e+00    1.3523e+00   -1.0889e+01    4.3172e+00   -2.0196e+00    6.4657e+00
     270   -1.2141e+00    2.1307e+00    1.3808e+00   -1.0897e+01    4.2628e+00   -2.0263e+00    6.3271e+00
     280   -1.2256e+00    2.1208e+00    1.3547e+00   -1.0902e+01    4.2528e+00   -2.0309e+00    6.1010e+00
     290   -1.1925e+00    2.1108e+00    1.3093e+00   -1.0889e+01    4.2887e+00   -2.0337e+00    6.2072e+00
     300   -1.1819e+00    2.1011e+00    1.2678e+00   -1.0890e+01    4.3001e+00   -2.0286e+00    6.3689e+00
     310   -1.2030e+00    2.0928e+00    1.2356e+00   -1.0888e+01    4.2786e+00   -2.0333e+00    6.4171e+00
     320   -1.2428e+00    2.0878e+00    1.2012e+00   -1.0889e+01    4.2379e+00   -2.0320e+00    6.3655e+00
     330   -1.2888e+00    2.0814e+00    1.2117e+00   -1.0893e+01    4.1886e+00   -2.0292e+00    6.2527e+00
     340   -1.3182e+00    2.0738e+00    1.2336e+00   -1.0887e+01    4.1589e+00   -2.0251e+00    6.0920e+00
     350   -1.3161e+00    2.0636e+00    1.2160e+00   -1.0901e+01    4.1646e+00   -2.0194e+00    6.1761e+00
     360   -1.2914e+00    2.0551e+00    1.1567e+00   -1.0909e+01    4.1914e+00   -2.0129e+00    6.2290e+00
     370   -1.2983e+00    2.0466e+00    1.1040e+00   -1.0896e+01    4.1844e+00   -2.0051e+00    6.2166e+00
     380   -1.3488e+00    2.0400e+00    1.1070e+00   -1.0897e+01    4.1330e+00   -1.9913e+00    6.1675e+00
     390   -1.4050e+00    2.0330e+00    1.1188e+00   -1.0892e+01    4.0778e+00   -1.9859e+00    6.1976e+00
     400   -1.4228e+00    2.0248e+00    1.1164e+00   -1.0895e+01    4.0621e+00   -1.9756e+00    6.1584e+00
     410   -1.4085e+00    2.0172e+00    1.0984e+00   -1.0896e+01    4.0776e+00   -1.9645e+00    6.0623e+00
     420   -1.3980e+00    2.0109e+00    1.0780e+00   -1.0907e+01    4.0856e+00   -1.9523e+00    5.9820e+00
